
Host: Rubens-MacBook-Pro-2.local

Timers On : Sat Jan 23 21:23:40 2021
Timers Off: Sat Jan 23 22:00:09 2021

Wall Time:     2189.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: JK                              :  14909.083u    808.250s   1934.725w     29 calls
JK: (Q|mn) Read                     :     26.817u    118.417s    116.836w     59 calls
JK: J                               :     37.867u      2.683s      7.061w     59 calls
JK: J1                              :     19.217u      1.767s      3.508w     59 calls
JK: J2                              :     16.850u      0.267s      2.871w     59 calls
JK: K                               :   3612.600u    558.417s    718.465w     59 calls
JK: K1                              :   1673.150u    411.533s    320.806w     59 calls
JK: K2                              :   1938.167u    146.500s    397.346w     59 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     29 calls
HF: Form F                          :      1.283u      0.283s      0.168w     29 calls
HF: Form D                          :      0.833u      0.067s      0.123w     29 calls
HF: DIIS                            :     21.683u      3.900s      2.903w     28 calls
DIISManager::add_entry              :      0.683u      0.050s      0.083w     28 calls
DIISManager::extrapolate            :      6.267u      2.583s      0.964w     28 calls
bMatrix setup                       :      2.167u      1.817s      0.487w     28 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.009w     28 calls
New vector                          :      4.067u      0.767s      0.468w     28 calls
HF: Form C                          :     39.517u      2.400s      5.112w     28 calls

--------------------------------------------------------------------------------------
V: Grid                             :    689.900u      2.067s     64.552w      1 calls
DFH: sparsity prep                  :      1.350u      0.100s      0.884w      1 calls
JK: (A|Q)^-1                        :    371.467u     22.750s     60.388w      1 calls
JK: (A|mn)                          :    138.333u      4.683s     16.670w      1 calls
JK: (Q|mn)                          :    439.933u     19.150s     89.898w      1 calls
JK: (Q|mn) Write                    :      0.317u     14.250s     20.996w      1 calls
HF: Form core H                     :      0.317u      0.050s      0.039w      1 calls
HF: Form S/X                        :      1.433u      0.133s      0.160w      1 calls
HF: Guess                           :      4.550u      0.333s      0.482w      1 calls
| SAD Guess                         :      4.350u      0.317s      0.465w      1 calls
HF: Form G                          :  17112.683u    952.250s   2182.237w     29 calls
| RV: Form V                        :   2199.300u    142.767s    246.778w     29 calls
| | Properties                      :   1100.596p                         575012 calls
| | Functional                      :    188.695p                         575012 calls
| | V_xc                            :    520.485p                         575012 calls
| JK: D                             :      1.150u      0.067s      0.146w     29 calls
| JK: USO2AO                        :      0.617u      0.083s      0.062w     29 calls
| JK: JK                            :  14909.083u    808.250s   1934.725w     29 calls
| | JK: (Q|mn) Read                 :     26.817u    118.417s    116.836w     59 calls
| | JK: J                           :     37.867u      2.683s      7.061w     59 calls
| | | JK: J1                        :     19.217u      1.767s      3.508w     59 calls
| | | JK: J2                        :     16.850u      0.267s      2.871w     59 calls
| | JK: K                           :   3612.600u    558.417s    718.465w     59 calls
| | | JK: K1                        :   1673.150u    411.533s    320.806w     59 calls
| | | JK: K2                        :   1938.167u    146.500s    397.346w     59 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     29 calls
HF: Form F                          :      1.283u      0.283s      0.168w     29 calls
HF: Form D                          :      0.833u      0.067s      0.123w     29 calls
HF: DIIS                            :     21.683u      3.900s      2.903w     28 calls
| DIISManager::add_entry            :      0.683u      0.050s      0.083w     28 calls
| DIISManager::extrapolate          :      6.267u      2.583s      0.964w     28 calls
| | bMatrix setup                   :      2.167u      1.817s      0.487w     28 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.009w     28 calls
| | New vector                      :      4.067u      0.767s      0.468w     28 calls
HF: Form C                          :     39.517u      2.400s      5.112w     28 calls

**************************************************************************************
