
Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 08:25:57 2021
Timers Off: Tue Jan 19 08:27:55 2021

Wall Time:      118.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Wall Time:       14.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.550u      0.050s      0.371w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.550u      0.050s      0.371w      1 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 09:19:14 2021
Timers Off: Tue Jan 19 09:19:25 2021

Wall Time:       10.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.533u      0.050s      0.361w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.533u      0.050s      0.361w      1 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 09:22:51 2021
Timers Off: Tue Jan 19 13:10:04 2021

Wall Time:    13632.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      7.067u      0.600s      4.621w     13 calls
DFH: initialize()                   :  12933.367u    307.733s   2164.289w     13 calls
DFH: Total Workflow                 :   7930.600u     48.217s   1221.237w     52 calls
DFH: AO Construction                :   1734.117u     13.583s    265.807w     52 calls
DFH: AO-Met. Contraction            :   6196.483u     34.633s    955.430w     52 calls
HF: Form core H                     :      0.150u      0.117s      0.287w     13 calls
HF: Form S/X                        :      6.867u      0.150s      1.067w     13 calls
HF: Guess                           :     16.250u      0.283s      2.577w     13 calls
SAD Guess                           :     15.783u      0.233s      2.499w     13 calls
HF: Form G                          :  61552.617u   3937.600s  11273.269w    377 calls
JK: D                               :      4.867u      0.067s      0.890w    377 calls
JK: USO2AO                          :      1.483u      0.067s      0.163w    377 calls
JK: JK                              :  61539.383u   3936.800s  11271.032w    377 calls
DFH: compute_JK()                   :  22899.583u   3812.417s   5236.793w    247 calls
DFH: Grabbing AOs                   :    604.817u   1647.700s   1254.568w    741 calls
DFH: compute_J                      :    457.467u     28.817s     76.509w    741 calls
DFH: compute_K                      :  21609.283u   1950.983s   3796.198w    741 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    377 calls
HF: Form F                          :      2.717u      0.333s      0.527w    377 calls
HF: Form D                          :      4.017u      0.067s      0.737w    377 calls
HF: DIIS                            :    102.033u      6.183s     17.078w    364 calls
DIISManager::add_entry              :      3.667u      0.183s      0.579w    364 calls
DIISManager::extrapolate            :     14.750u      3.733s      3.033w    364 calls
bMatrix setup                       :      2.400u      2.783s      1.159w    364 calls
bMatrix pseudoinverse               :      1.933u      0.033s      0.102w    364 calls
New vector                          :     10.367u      0.917s      1.759w    364 calls
HF: Form C                          :    221.967u      3.133s     35.390w    364 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      7.067u      0.600s      4.621w     13 calls
DFH: initialize()                   :  12933.367u    307.733s   2164.289w     13 calls
| DFH: Total Workflow               :   7930.600u     48.217s   1221.237w     52 calls
| | DFH: AO Construction            :   1734.117u     13.583s    265.807w     52 calls
| | DFH: AO-Met. Contraction        :   6196.483u     34.633s    955.430w     52 calls
HF: Form core H                     :      0.150u      0.117s      0.287w     13 calls
HF: Form S/X                        :      6.867u      0.150s      1.067w     13 calls
HF: Guess                           :     16.250u      0.283s      2.577w     13 calls
| SAD Guess                         :     15.783u      0.233s      2.499w     13 calls
HF: Form G                          :  61552.617u   3937.600s  11273.269w    377 calls
| JK: D                             :      4.867u      0.067s      0.890w    377 calls
| JK: USO2AO                        :      1.483u      0.067s      0.163w    377 calls
| JK: JK                            :  61539.383u   3936.800s  11271.032w    377 calls
| | DFH: compute_JK()               :  22899.583u   3812.417s   5236.793w    247 calls
| | | DFH: Grabbing AOs             :    604.817u   1647.700s   1254.568w    741 calls
| | | DFH: compute_J                :    457.467u     28.817s     76.509w    741 calls
| | | DFH: compute_K                :  21609.283u   1950.983s   3796.198w    741 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    377 calls
HF: Form F                          :      2.717u      0.333s      0.527w    377 calls
HF: Form D                          :      4.017u      0.067s      0.737w    377 calls
HF: DIIS                            :    102.033u      6.183s     17.078w    364 calls
| DIISManager::add_entry            :      3.667u      0.183s      0.579w    364 calls
| DIISManager::extrapolate          :     14.750u      3.733s      3.033w    364 calls
| | bMatrix setup                   :      2.400u      2.783s      1.159w    364 calls
| | bMatrix pseudoinverse           :      1.933u      0.033s      0.102w    364 calls
| | New vector                      :     10.367u      0.917s      1.759w    364 calls
HF: Form C                          :    221.967u      3.133s     35.390w    364 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 13:58:57 2021
Timers Off: Tue Jan 19 13:58:58 2021

Wall Time:        1.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 13:59:17 2021
Timers Off: Wed Jan 20 04:21:10 2021

Wall Time:    51713.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :   9890.650u     31.967s    963.335w     13 calls
DFH: sparsity prep                  :     44.450u      3.650s     14.658w     13 calls
JK: (A|Q)^-1                        :   4953.717u    631.833s    802.569w     13 calls
JK: (A|mn)                          :   2606.450u     93.350s    229.474w     26 calls
JK: (Q|mn)                          :   8517.550u     52.050s   1300.676w     26 calls
JK: (Q|mn) Write                    :     25.900u    408.033s    409.725w     26 calls
HF: Form core H                     :     14.400u      1.300s      1.592w     13 calls
HF: Form S/X                        :     59.200u      2.533s      6.768w     13 calls
HF: Guess                           :     72.800u      3.133s      6.299w     13 calls
SAD Guess                           :     68.800u      2.733s      5.940w     13 calls
HF: Form G                          : 472270.117u   7486.333s  47275.444w    385 calls
RV: Form V                          :  48742.417u    789.367s   4231.060w    385 calls
Properties                          :  21161.878p                         7470540 calls
Functional                          :   1643.797p                         7470540 calls
V_xc                                :  10396.872p                         7470540 calls
JK: D                               :     42.367u      2.050s      3.950w    385 calls
JK: USO2AO                          :     13.250u      1.300s      1.028w    385 calls
JK: JK                              : 423391.683u   6668.600s  43026.642w    385 calls
JK: (Q|mn) Read                     :    658.550u   2396.650s   1806.366w   1293 calls
JK: J                               :   1198.733u     47.317s    197.565w   1293 calls
JK: J1                              :    603.050u     35.850s    101.506w   1293 calls
JK: J2                              :    561.667u      5.200s     87.571w   1293 calls
JK: K                               : 117871.083u   2509.850s  14606.129w   1293 calls
JK: K1                              :  57768.700u   1692.117s   5333.884w   1293 calls
JK: K2                              :  60076.317u    813.567s   9267.675w   1293 calls
JK: AO2USO                          :      0.000u      0.017s      0.005w    385 calls
HF: Form F                          :     85.767u      9.833s      8.062w    385 calls
HF: Form D                          :     19.750u      0.867s      3.339w    385 calls
HF: DIIS                            :   1368.867u    141.717s    155.982w    372 calls
DIISManager::add_entry              :     14.650u      0.917s      2.523w    372 calls
DIISManager::extrapolate            :    327.033u    101.967s     43.888w    372 calls
bMatrix setup                       :    125.917u     76.817s     21.169w    372 calls
bMatrix pseudoinverse               :      2.133u      0.167s      0.138w    372 calls
New vector                          :    198.783u     24.967s     22.567w    372 calls
HF: Form C                          :   1338.317u     47.617s    184.450w    372 calls

--------------------------------------------------------------------------------------
V: Grid                             :   9890.650u     31.967s    963.335w     13 calls
DFH: sparsity prep                  :     44.450u      3.650s     14.658w     13 calls
JK: (A|Q)^-1                        :   4953.717u    631.833s    802.569w     13 calls
JK: (A|mn)                          :   2606.450u     93.350s    229.474w     26 calls
JK: (Q|mn)                          :   8517.550u     52.050s   1300.676w     26 calls
